Institution;Number;Percent;Amount;Percent;Average Amount
Scripps Research Institute (Jupiter, FL);1;.012;50000;.003;50000
Scripps Research Institute (La Jolla, CA);1;.012;100000;.005;100000
Seven Oaks General Hospital (Winnipeg);1;.012;115000;.006;115000
Shriners Hospital for Children (Montréal);5;.059;1109948;.057;221990
Simon Fraser Health Unit (Burnaby);1;.012;20000;.001;20000
Simon Fraser University (Burnaby, B.C.);88;1.037;13843150;.708;157309
Sinai Health System (Toronto);47;.554;17315240;.885;368409
Sloan-Kettering Institute for Cancer Research (NY);1;.012;42500;.002;42500
Société québécoise de lipidologie, de nutrition & de métabolisme (Québec);1;.012;15000;.001;15000
South Australian Health and Medical Research Institute;1;.012;6000;0;6000
St. Boniface General Hospital Research Centre (Winnipeg);7;.083;2008542;.103;286935
St. Francis Xavier University (Nova Scotia);2;.024;339450;.017;169725
St. Joseph's Healthcare Hamilton;1;.012;198509;.01;198509
St. Mary's Hospital Center (Montreal);1;.012;116667;.006;116667
St. Paul's Hospital, Vancouver;12;.141;11050635;.565;920886
Stanford Blood Center, Hillview (California);2;.024;200000;.01;100000
Stanford University (California);9;.106;775000;.04;86111
St-Joseph's Health Care London - Parkwood Institute;1;.012;449144;.023;449144
Stony Brook University (New York);1;.012;2500;0;2500
Sunnybrook Odette Cancer Centre (Toronto, Ontario);2;.024;304800;.016;152400
Sunnybrook Research Institute (Toronto, Ontario);108;1.273;29283348;1.497;271142
Swiss Federal Institute of Technology (Zurich);1;.012;35000;.002;35000
Swiss Federal Institute of Technology in Lausanne;3;.035;233500;.012;77833
Télé-université (Québec);1;.012;73333;.004;73333
Texas Tech University (Lubbock);1;.012;100000;.005;100000
The Alberta First Nations Information Governance Centre (Calgary);1;.012;1012500;.052;1012500
The Centre for Addiction & Mental Health (Toronto);2;.024;93333;.005;46667
The City of Calgary;1;.012;35000;.002;35000
The Eastern Ontario Regional Laboratory Association (Ottawa, ON);1;.012;88083;.005;88083
The Fields Institute for Research in Mathematical Sciences (Toronto, ON);1;.012;666667;.034;666667
The Francis Crick Institute (London);4;.047;98500;.005;24625
The Lawson Foundation (London, Ontario);1;.012;25483;.001;25483
The Ottawa Hospital - Civic Campus;2;.024;691560;.035;345780
The University of Texas MD Anderson Cancer Center;1;.012;22500;.001;22500
Thompson Rivers University (Kamloops, BC);4;.047;911948;.047;227987
Tlicho Community Services Agency (NWT);1;.012;3312704;.169;3312704
Toronto Centre for Phenogenomics (Ontario);1;.012;691700;.035;691700
Toronto General Hospital;5;.059;520100;.027;104020
Toronto General Research Institute;11;.13;1638394;.084;148945
Toronto Public Health (Ont.);1;.012;64940;.003;64940
Toronto Rehabilitation Institute-UHN;13;.153;1787740;.091;137518
Toronto Western Hospital;4;.047;1221373;.062;305343
Trent University (Peterborough, Ontario);5;.059;725915;.037;145183
Trillium Health Partners (Mississauga, ON);10;.118;732927;.037;73293
Trinity Western University (Langley, BC);4;.047;551227;.028;137807
Tufts University (Massachusetts);1;.012;11250;.001;11250
Umea Universitet (Sweden);1;.012;50000;.003;50000
Unity Health Toronto;130;1.532;43840387;2.242;337234
Universidad de Antioquia (Medellin, Colombia);1;.012;6000;0;6000
Université de Bordeaux I (France);1;.012;100000;.005;100000
Université de Moncton (New Brunswick);5;.059;809554;.041;161911
Université de Montréal;252;2.97;51033020;2.61;202512
Université de Sherbrooke;156;1.839;28613257;1.463;183418
Université du Québec à Chicoutimi;3;.035;625581;.032;208527
Université du Québec à Montréal;29;.342;4619086;.236;159279
Université du Québec à Rimouski;1;.012;17500;.001;17500
Université du Québec à Trois-Rivières;6;.071;242795;.012;40466
